M/C,Tonase
A10-P1,110
A10-P2,110
A11-P1,160
A11-P2,110
A12-P1,160
A12-P2,110
A13-P1,160
A13-P2,110
A14-P2,110
A15-P2,160
A16-P2,160
A17-P2,160
A18-P2,160
A19-P2,400
A1-P1,80
A1-P2,400
A2-P2,400
A3-P1,100
A3-P2,315
A4-P1,100
A4-P2,315
A5-P1,60
A5-P2,160
A6-P1,60
A6-P2,160
A7-P1,60
A7-P2,160
A8-P1,80
A8-P2,160
A9-P1,110
A9-P2,110
B1-P2,500
B2-P1,110
B3-P1,110
B4,0
B4-P1,80
B6-P1,160
B7-P1,80
B7-P2,0
B8-P1,110
B9-P1,80
C1-P1,160
C3-P1,400
C4-P1,220
C5-P1,200
C6-P1,110
C7-P1,315
C8-P1,110
C9-P1,400
E6-P1,400
E7-P1,80
F13-P1,0
F14-P1,0
F15-P1,750
F16-P1,650
F1-P2,0
F4-P1,650
H1-P1,60
H2-P1,45
MEJAPACK-2,0
REWORK-P2,0
SANDER P2,0
SORTIR-P2,0
W1-P2,0
W2-P2,0
W3-P2,0
W4-P2,0
W5-P2,0
W6-P2,0
W7-P2,0
W8-P2,4500
Grand,650
MEJAPACK-1-P1,0
MEJAPACK-2-P1,0
MEJAPACK-3-P1,0
MEJAPACK-4-P1,0
MEJAPACK-5-P1,0
MEJAPACK-6-P1,0
MEJAPACK-7-P1,0
MEJAPACK-8-P1,0
MEJAPACK-9-P1,0
MEJAPACK-10-P1,0
MEJAPACK-11-P1,0
MEJAPACK-12-P1,0
MEJAPACK-13-P1,0
MEJAPACK-14-P1,0
MEJAPACK-15-P1,0
MEJAPACK-16-P1,0
MEJAPACK-17-P1,0
MEJAPACK-18-P1,0
MEJAPACK-19-P1,0
MEJAPACK-20-P1,0
MEJAPACK-1-P2,0
MEJAPACK-2-P2,0
MEJAPACK-3-P2,0
MEJAPACK-4-P2,0
MEJAPACK-5-P2,0
MEJAPACK-6-P2,0
MEJAPACK-7-P2,0
MEJAPACK-8-P2,0
MEJAPACK-9-P2,0
MEJAPACK-10-P2,0
MEJAPACK-11-P2,0
MEJAPACK-12-P2,0
MEJAPACK-13-P2,0
MEJAPACK-14-P2,0
MEJAPACK-15-P2,0
MEJAPACK-16-P2,0
MEJAPACK-17-P2,0
MEJAPACK-18-P2,0
MEJAPACK-19-P2,0
MEJAPACK-20-P2,0